pagina_do_anucio;link_anucio;titulo;enderecos;area_condominio;quartos;banheiros;total_vagas;piscina;churrasqueira;elevador;aceita_animais;ar_condicionado;valor_aluguel;valor_condominio;nome_imobiliaria;imagem_imobiliaria;data_coleta
?pagina=23;/imovel/apartamento-2-quartos-jardim-anhanguera-bairros-ribeirao-preto-com-garagem-63m2-aluguel-RS700-id-2427761683/;Apartamento com 2 Quartos para Aluguel, 63m²;Rua Professor José Coelho Gomes Ribeiro - Jardim Anhanguéra, Ribeirão Preto - SP;63   m²;2   Quartos;2   Banheiros;1   Vaga;1;1;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 700 /Mês ;  R$ 350  ;José Rubens Hernandez;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-2-quartos-jardim-presidente-medici-bairros-ribeirao-preto-com-garagem-52m2-aluguel-RS650-id-2537319195/;Apartamento com 2 Quartos para Aluguel, 52m²;Jardim Presidente Medici, Ribeirão Preto - SP;52   m²;2   Quartos;1   Banheiro;1   Vaga;Sem cadastro de piscina;Sem cadasto churrasqueira;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 650 /Mês  ;  R$ 380  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-4-quartos-santa-cruz-do-jose-jacques-bairros-ribeirao-preto-com-garagem-180m2-aluguel-RS2200-id-2537319480/;Apartamento com 4 Quartos para Aluguel, 180m²;Santa Cruz do José Jacques, Ribeirão Preto - SP;180   m²;4   Quartos;5   Banheiros;3   Vagas;1;1;1;1;Sem cadastro ar_condicionado;  R$ 2.200 /Mês ;  R$ 1.419  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-3-quartos-iguatemi-bairros-ribeirao-preto-com-garagem-73m2-aluguel-RS900-id-2537319293/;Apartamento com 3 Quartos para Aluguel, 73m²;Iguatemi, Ribeirão Preto - SP;73   m²;3   Quartos;2   Banheiros;1   Vaga;1;Sem cadasto churrasqueira;1;1;Sem cadastro ar_condicionado;  R$ 900 /Mês  ;  R$ 390  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-3-quartos-centro-bairros-ribeirao-preto-com-garagem-96m2-aluguel-RS1200-id-2537317532/;Apartamento com 3 Quartos para Aluguel, 96m²;Centro, Ribeirão Preto - SP;96   m²;3   Quartos;3   Banheiros;2   Vagas;1;Sem cadasto churrasqueira;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 1.200 /Mês ;  R$ 650  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-3-quartos-jardim-iraja-bairros-ribeirao-preto-com-garagem-127m2-aluguel-RS2200-id-2538273313/;Apartamento com 3 Quartos para Aluguel, 127m²;Jardim Irajá, Ribeirão Preto - SP;127   m²;3   Quartos;3   Banheiros;2   Vagas;1;1;1;1;Sem cadastro ar_condicionado;  R$ 2.200 /Mês  ;  R$ 810  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-3-quartos-iguatemi-bairros-ribeirao-preto-com-garagem-75m2-aluguel-RS900-id-2537249381/;Apartamento com 3 Quartos para Aluguel, 75m²;Iguatemi, Ribeirão Preto - SP;75   m²;3   Quartos;1   Banheiro;1   Vaga;1;Sem cadasto churrasqueira;1;1;Sem cadastro ar_condicionado;  R$ 900 /Mês  ;  R$ 380  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-1-quartos-centro-bairros-ribeirao-preto-com-garagem-55m2-aluguel-RS750-id-2537319481/;Apartamento com  Quarto para Aluguel, 55m²;Centro, Ribeirão Preto - SP;55   m²;1   Quarto;1   Banheiro;1   Vaga;Sem cadastro de piscina;Sem cadasto churrasqueira;1;1;Sem cadastro ar_condicionado;  R$ 750 /Mês  ;  R$ 550  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-2-quartos-quinta-da-primavera-bairros-ribeirao-preto-com-garagem-67m2-aluguel-RS2000-id-2537725674/;Apartamento com 2 Quartos para Aluguel, 67m²;Avenida Luiz Octavio da Silva Whitaker - Quinta da Primavera, Ribeirão Preto - SP;67   m²;2   Quartos;2   Banheiros;1   Vaga;1;1;Sem cadastro elevador;Sem cadatro animais;1;  R$ 2.000 /Mês ;  R$ 430  ;Peniel Negócios Imobiliários;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-2-quartos-vila-amelia-bairros-ribeirao-preto-com-garagem-67m2-aluguel-RS1600-id-2537319198/;Apartamento com 2 Quartos para Aluguel, 67m²;Vila Amélia, Ribeirão Preto - SP;67   m²;2   Quartos;2   Banheiros;1   Vaga;1;1;1;1;Sem cadastro ar_condicionado;  R$ 1.600 /Mês ;  R$ 330  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-3-quartos-jardim-sao-luiz-bairros-ribeirao-preto-com-garagem-130m2-aluguel-RS1700-id-2537800121/;Apartamento com 3 Quartos para Aluguel, 130m²;Rua do Professor - Jardim São Luiz, Ribeirão Preto - SP;130   m²;3   Quartos;2   Banheiros;2   Vagas;Sem cadatro de piscina ERROR;Sem cadasto churrasqueira ERROR;Sem cadastro elevador ERROR;Sem cadatro animais ERROR;Sem cadastro ar_condicionado ERROR;  R$ 1.700 /Mês ;  R$ 720  ;Inah Empreendimentos Imobiliários;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-1-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-45m2-aluguel-RS1200-id-2531042986/;Apartamento com  Quarto para Aluguel, 45m²;Nova Aliança, Ribeirão Preto - SP;45   m²;1   Quarto;1   Banheiro;1   Vaga;Sem cadastro de piscina;Sem cadasto churrasqueira;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 1.200 /Mês ;  R$ 410  ;Flat Imóveis Empreendimentos Imobiliários Ribeirão Preto Ltda Me;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-3-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-138m2-aluguel-RS3900-id-2540816485/;Apartamento com 3 Quartos para Aluguel, 138m²;Rua Eugênio Rocha Filho, 335 - Jardim Botânico, Ribeirão Preto - SP;138   m²;3   Quartos;3   Banheiros;2   Vagas;1;1;1;1;Sem cadastro ar_condicionado;  R$ 3.900 /Mês ;  R$ 630  ;Claudio Cadalço;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-3-quartos-jardim-presidente-medici-bairros-ribeirao-preto-com-garagem-100m2-aluguel-RS1600-id-2539392978/;Apartamento com 3 Quartos para Aluguel, 100m²;Rua Arnaldo Victaliano, 1450 - Jardim Presidente Medici, Ribeirão Preto - SP;100   m²;3   Quartos;2   Banheiros;2   Vagas;1;Sem cadasto churrasqueira;1;1;Sem cadastro ar_condicionado;  R$ 1.600 /Mês ;  R$ 700  ;Suellen Oliveira;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-2-quartos-vila-amelia-bairros-ribeirao-preto-com-garagem-63m2-aluguel-RS1600-id-2537656837/;Apartamento com 2 Quartos para Aluguel, 63m²;Avenida do Café, 1243 - Vila Amélia, Ribeirão Preto - SP;63   m²;2   Quartos;2   Banheiros;1   Vaga;1;Sem cadasto churrasqueira;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 1.600 /Mês ;  R$ 400  ;FMS IMOVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-3-quartos-jardim-presidente-medici-bairros-ribeirao-preto-com-garagem-93m2-aluguel-RS1100-id-2540803405/;Apartamento com 3 Quartos para Aluguel, 93m²;Jardim Presidente Medici, Ribeirão Preto - SP;93   m²;3   Quartos;2   Banheiros;1   Vaga;Sem cadatro de piscina ERROR;Sem cadasto churrasqueira ERROR;Sem cadastro elevador ERROR;Sem cadatro animais ERROR;Sem cadastro ar_condicionado ERROR;  R$ 1.100 /Mês ;  R$ 750  ;ZEM CIOCCARI NEGOCIOS IMOBILIAR;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-3-quartos-centro-bairros-ribeirao-preto-com-garagem-131m2-aluguel-RS1800-id-2537319107/;Apartamento com 3 Quartos para Aluguel, 131m²;Centro, Ribeirão Preto - SP;131   m²;3   Quartos;3   Banheiros;2   Vagas;1;1;1;1;Sem cadastro ar_condicionado;  R$ 1.800 /Mês ;  R$ 945  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-2-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-88m2-aluguel-RS1100-id-2538010175/;Apartamento com 2 Quartos para Aluguel, 88m²;Jardim Botânico, Ribeirão Preto - SP;88   m²;2   Quartos;2   Banheiros;1   Vaga;1;Sem cadasto churrasqueira;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 1.100 /Mês ;  R$ 500  ;REFIDIM IMOVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-2-quartos-alto-da-boa-vista-bairros-ribeirao-preto-com-garagem-57m2-aluguel-RS1100-id-2538555627/;Apartamento com 2 Quartos para Aluguel, 57m²;Avenida Caramuru, 2550 - Alto da Boa Vista, Ribeirão Preto - SP;57   m²;2   Quartos;2   Banheiros;1   Vaga;Sem cadastro de piscina;Sem cadasto churrasqueira;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 1.100 /Mês ;  R$ 300  ;ROCA ADMINISTRADORA DE IMÓVEIS EIRELLI LTDA;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-3-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-97m2-aluguel-RS2300-id-2521466489/;Apartamento com 3 Quartos para Aluguel, 97m²;Rua Newton Stilac Leal, 461 - Jardim Botânico, Ribeirão Preto - SP;97   m²;3   Quartos;2   Banheiros;2   Vagas;1;1;1;1;Sem cadastro ar_condicionado;  R$ 2.300 /Mês ;  R$ 590  ;RE/MAX FULL;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-2-quartos-santa-cruz-do-jose-jacques-bairros-ribeirao-preto-com-garagem-84m2-aluguel-RS1300-id-2539429986/;Apartamento com 2 Quartos para Aluguel, 84m²;Rua Triunfo, 835 - Santa Cruz do José Jacques, Ribeirão Preto - SP;84   m²;2   Quartos;1   Banheiro;2   Vagas;1;1;1;1;Sem cadastro ar_condicionado;  R$ 1.300 /Mês ;  R$ 518  ;Re/Max Pontual;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-2-quartos-vila-amelia-bairros-ribeirao-preto-com-garagem-63m2-aluguel-RS1400-id-2537655124/;Apartamento com 2 Quartos para Aluguel, 63m²;Avenida do Café, 1265 - Vila Amélia, Ribeirão Preto - SP;63   m²;2   Quartos;1   Banheiro;1   Vaga;1;Sem cadasto churrasqueira;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 1.400 /Mês ;  R$ 330  ;FMS IMOVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-3-quartos-jardim-iraja-bairros-ribeirao-preto-com-garagem-119m2-aluguel-RS2000-id-2537319296/;Apartamento com 3 Quartos para Aluguel, 119m²;Jardim Irajá, Ribeirão Preto - SP;119   m²;3   Quartos;3   Banheiros;2   Vagas;1;Sem cadasto churrasqueira;1;1;Sem cadastro ar_condicionado;  R$ 2.000 /Mês ;  R$ 1.130  ;LIAN IMÓVEIS;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-2-quartos-jardim-castelo-branco-bairros-ribeirao-preto-com-garagem-62m2-aluguel-RS1100-id-2540806970/;Apartamento com 2 Quartos para Aluguel, 62m²;Jardim Castelo Branco, Ribeirão Preto - SP;62   m²;2   Quartos;2   Banheiros;1   Vaga;Sem cadastro de piscina;Sem cadasto churrasqueira;Sem cadastro elevador;Sem cadatro animais;1;  R$ 1.100 /Mês ;  R$ 100  ;Prosperare Corretores & Imobiliárias Associados Ltda.;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-1-quartos-jardim-palma-travassos-bairros-ribeirao-preto-com-garagem-38m2-aluguel-RS950-id-2539508295/;Apartamento com  Quarto para Aluguel, 38m²;Jardim Palma Travassos, Ribeirão Preto - SP;38   m²;1   Quarto;1   Banheiro;1   Vaga;Sem cadastro de piscina;Sem cadasto churrasqueira;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 950 /Mês ;  R$ 340  ;Flat Imóveis Empreendimentos Imobiliários Ribeirão Preto Ltda Me;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
?pagina=23;/imovel/apartamento-3-quartos-quinta-da-primavera-bairros-ribeirao-preto-com-garagem-92m2-aluguel-RS3500-id-2537114299/;Apartamento com 3 Quartos para Aluguel, 92m²;Quinta da Primavera, Ribeirão Preto - SP;92   m²;3   Quartos;3   Banheiros;2   Vagas;1;1;1;1;Sem cadastro ar_condicionado;  R$ 3.500 /Mês ;  R$ 550  ;Anda Imóveis;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:29
