pagina_do_anucio;link_anucio;titulo;enderecos;area_condominio;quartos;banheiros;total_vagas;piscina;churrasqueira;elevador;aceita_animais;ar_condicionado;valor_aluguel;valor_condominio;nome_imobiliaria;imagem_imobiliaria;data_coleta
?pagina=23;/imovel/apartamento-2-quartos-nova-ribeirania-bairros-ribeirao-preto-com-garagem-77m2-aluguel-RS1900-id-2535976096/;Apartamento com 2 Quartos para Aluguel, 77m²;Rua Luiz José de Mattos, 351 - Nova Ribeirânia, Ribeirão Preto - SP;77   m²;2   Quartos;3   Banheiros;1   Vaga;Sem cadastro de piscina;1;1;1;1;  R$ 1.900 /Mês ;  R$ 380  ;Tavernise Construtora e Incorporadora;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-1-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-55m2-aluguel-RS1400-id-2520297473/;Apartamento com  Quarto para Aluguel, 55m²;Rua Wanda Bastos Santiago, 355 - Jardim Botânico, Ribeirão Preto - SP;55   m²;1   Quarto;2   Banheiros;1   Vaga;Sem cadastro de piscina;Sem cadasto churrasqueira;1;1;1;  R$ 1.400 /Mês ;  R$ 250  ;Eduardo Moralles;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-3-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-104m2-aluguel-RS550000-id-2520940983/;Apartamento com 3 Quartos para Aluguel, 104m²;Rua Noboru Nisiyama, 51 - Jardim Botânico, Ribeirão Preto - SP;104   m²;3   Quartos;3   Banheiros;2   Vagas;1;1;1;1;1;  R$ 550.000 /Mês ;  R$ 745  ;Geison Julio Evangelista;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-1-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-41m2-aluguel-RS890-id-2537216610/;Apartamento com  Quarto para Aluguel, 41m²;Rua José Saretta, 75 - Nova Aliança, Ribeirão Preto - SP;41   m²;1   Quarto;1   Banheiro;1   Vaga;Sem cadatro de piscina ERROR;Sem cadasto churrasqueira ERROR;Sem cadastro elevador ERROR;Sem cadatro animais ERROR;Sem cadastro ar_condicionado ERROR;  R$ 890 /Mês ;  R$ 199  ;Andreia Ricioli;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-3-quartos-santa-cruz-do-jose-jacques-bairros-ribeirao-preto-com-garagem-98m2-aluguel-RS1700-id-2539392988/;Apartamento com 3 Quartos para Aluguel, 98m²;Rua Aquidaban, 225 - Santa Cruz do José Jacques, Ribeirão Preto - SP;98   m²;3   Quartos;3   Banheiros;2   Vagas;1;Sem cadasto churrasqueira;1;1;Sem cadastro ar_condicionado;  R$ 1.700 /Mês ;  R$ 711  ;luciana pereira;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-2-quartos-parque-sao-sebastiao-bairros-ribeirao-preto-com-garagem-50m2-aluguel-RS1200-id-2427780224/;Apartamento com 2 Quartos para Aluguel, 50m²;Rua Francisco de Almeida - Parque São Sebastião, Ribeirão Preto - SP;50   m²;2   Quartos;1   Banheiro;1   Vaga;1;1;Sem cadastro elevador;Sem cadatro animais;Sem cadastro ar_condicionado;  R$ 1.200 /Mês ;Sem cadastro de condominio;VICTOR NUNES;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-1-quartos-jardim-canada-bairros-ribeirao-preto-com-garagem-60m2-aluguel-RS1400-id-2427796624/;Apartamento com  Quarto para Aluguel, 60m²;Rua João Alves Silva Júnior - Jardim Canadá, Ribeirão Preto - SP;60   m²;1   Quarto;2   Banheiros;1   Vaga;1;1;Sem cadastro elevador;Sem cadatro animais;1;  R$ 1.400 /Mês ;  R$ 440  ;Rodrigo Junqueira Netto;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-3-quartos-quinta-da-primavera-bairros-ribeirao-preto-com-garagem-90m2-aluguel-RS2599-id-2536264178/;Apartamento com 3 Quartos para Aluguel, 90m²;Rua Oscar Barbosa, 1635 - Quinta da Primavera, Ribeirão Preto - SP;90   m²;3   Quartos;2   Banheiros;2   Vagas;1;1;1;1;Sem cadastro ar_condicionado;  R$ 2.599 /Mês ;  R$ 530  ;Grupo WTB;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-1-quartos-centro-bairros-ribeirao-preto-25m2-aluguel-RS800-id-2516789149/;Apartamento com  Quarto para Aluguel, 25m²;Rua General Osório, 850 - Centro, Ribeirão Preto - SP;25   m²;1   Quarto;1   Banheiro;--   Vaga;1;Sem cadasto churrasqueira;1;1;Sem cadastro ar_condicionado;  R$ 800 /Mês ;Sem cadastro de condominio;Marlene Lucas Faria;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
?pagina=23;/imovel/apartamento-2-quartos-parque-residencial-lagoinha-bairros-ribeirao-preto-com-garagem-57m2-aluguel-RS1600-id-2537874831/;Apartamento com 2 Quartos para Aluguel, 57m²;Rua Augusto Bortoloti, 350 - Parque Residencial Lagoinha, Ribeirão Preto - SP;57   m²;2   Quartos;2   Banheiros;1   Vaga;1;1;1;1;Sem cadastro ar_condicionado;  R$ 1.600 /Mês ;  R$ 350  ;Antonio José Pelloso;https://cdn1.vivareal.com/p/1-81eafce/v/static/app/img/pixel.png;13/11/2021 19:12:28
